,method,delay
0,dSPM,0.1079655419998744
1,dSPM,0.11301716599973588
2,dSPM,0.10780475000046863
3,dSPM,0.1083567089999633
4,dSPM,0.10774241699982667
5,dSPM,0.10798454199994012
6,dSPM,0.10720804199991107
7,dSPM,0.10692595900036395
8,dSPM,0.10750787500001024
9,dSPM,0.10709137499998178
10,dSPM,0.1071170830000483
11,dSPM,0.10784020800019789
12,dSPM,0.10831883399987419
13,dSPM,0.10759599999983038
14,dSPM,0.10746949999975186
15,dSPM,0.10746299999937037
16,dSPM,0.10729333299968857
17,dSPM,0.10661799999979849
18,dSPM,0.10771699999986595
19,dSPM,0.10898820900001738
20,dSPM,0.1080012499996883
21,dSPM,0.10796674999983225
22,dSPM,0.10785966599996755
23,dSPM,0.10744187500040425
24,dSPM,0.10738687499997468
25,dSPM,0.10728458300036436
26,dSPM,0.1081192909996389
27,dSPM,0.1076527499999429
28,dSPM,0.1085236660001101
29,dSPM,0.10815358299987565
30,dSPM,0.1075485839992325
31,dSPM,0.10780350000004546
32,dSPM,0.10776266600078088
33,dSPM,0.10807916699923226
34,dSPM,0.10840195799937646
35,dSPM,0.10794220899970242
36,dSPM,0.10776920900025289
37,dSPM,0.10759954200057109
38,dSPM,0.10799812500044936
39,dSPM,0.10772762499982491
40,dSPM,0.10730845800026145
41,dSPM,0.10798691699983465
42,dSPM,0.10706908299925999
43,dSPM,0.1083650000000489
44,dSPM,0.10836674999973184
45,dSPM,0.10796170800040272
46,dSPM,0.10738516699984757
47,dSPM,0.10774708400003874
48,dSPM,0.10721749999993335
49,dSPM,0.10731666699939524
50,dSPM,0.10792966700046236
51,dSPM,0.10744458400040457
52,dSPM,0.1073603329996331
53,dSPM,0.10817441699964547
54,dSPM,0.10787191600047663
55,dSPM,0.10826341699976183
56,dSPM,0.10918712500006222
57,dSPM,0.10759795800004213
58,dSPM,0.10788475000026665
59,dSPM,0.10823612499916635
60,dSPM,0.10681516600016039
61,dSPM,0.1079747909998332
62,dSPM,0.10718908400031069
63,dSPM,0.10844808399997419
64,dSPM,0.10753520800062688
65,dSPM,0.1078916249998656
66,dSPM,0.10840620900034992
67,dSPM,0.10728241699962382
68,dSPM,0.1075810830006958
69,dSPM,0.10742683300031786
70,dSPM,0.10753741700045794
71,dSPM,0.10867545800010703
72,dSPM,0.1079544160002115
73,dSPM,0.10739462499986985
74,dSPM,0.10778529199978948
75,dSPM,0.10783033300049283
76,dSPM,0.10802795800009335
77,dSPM,0.10839329100053874
78,dSPM,0.10829224999997678
